timestamp	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
158	2.040257756485014	-0.309557407938455	-0.19755550602807867	-0.0540017325698925	-0.5635357150353001	-0.675689637531577	0
159	2.3196595879693143	-0.24108121033877974	-0.3177403957217787	-0.12252151015712864	-0.3904330693475693	-0.48292516003797664	0
160	2.6142591338893597	-0.24346846263897956	-0.39280638554608066	-0.11914281706737287	-0.43459125377965757	-0.5356622495495023	0
161	2.901527613240855	-0.31308324241289537	-0.3478100703981598	-0.17533317644734764	-0.5417108772163005	-0.6321551733647387	0
162	3.1629520192634146	-0.5251664573293023	-0.5523156863073262	-0.5473979081058336	-0.5390200357593911	-0.5510495290241855	0
163	3.3830467652105964	-0.676267051443931	-0.6802650110354463	-0.46976531613493716	-0.39018954466321976	-0.5632971507098147	0
164	3.5501677783176153	-0.6059416564050698	-0.35057052321444504	-0.24373335357409479	-0.3955180257205111	-0.4891937661239322	0
165	3.6571359604306317	-0.6315687876814555	-0.4664465758144275	-0.004868184734512019	-0.5250292620963631	-0.37282415630642807	0
166	3.7013589392824913	-0.7021273847466318	-0.7051148097583341	-0.02137920252152097	-0.5220999222738515	-0.30971403076087095	0
167	3.684551004978377	-0.7382899493907066	-0.7244837551636292	-0.17609197501672214	-0.5993790355521073	-0.5148089220021445	0
168	3.6123888178848698	-0.7520532004343079	-0.8063200712065042	-0.3390451034481873	-0.560963215169646	-0.5976290083800657	0
169	3.494589434965128	-0.7438756617441177	-0.7833228998327378	-0.6518545647906	-0.3916926544028785	-0.4591857380485091	0
170	3.34628961994273	-0.7387182272135009	-0.8008318147225726	-0.27412727125643177	-0.4144234310901452	-0.5442377214625057	0
171	3.193405506648539	-0.5711479773918655	-0.6972309061281349	-0.23333052339353402	-0.223486544976645	-0.17471836195725723	0
172	3.0737835559663123	-0.5450663816796152	-0.5584164623927235	-0.44274227183898146	-0.18197272077801827	0.08352643744821153	0
173	3.0000296611928863	-0.704555191625075	-0.6610959470095662	-0.668722124619361	-0.5449998132998962	-0.5082951463851523	0
174	2.9420606261605493	-0.6862362709314469	-0.7708013065254037	-0.22045409140947475	-0.24695242342969673	-0.1542361250507915	0
175	2.867822119006445	-0.6071915654833155	-0.6876559829359387	0.5202150427464973	0.029148141441178076	-0.06089032606479847	0
176	2.763172940211686	-0.6528515113876838	-0.6198008026718314	0.7109599967091172	-0.3551774520163045	-0.6494820727594918	0
177	2.625029795430744	-0.65615192470841	-0.6072967080626928	0.374414697851664	-0.33883408484445704	-0.2420648279709115	0
178	2.4577118240420552	-0.4898209730134214	-0.38100236230866535	-0.0755908123441189	-0.3593697609498768	-0.3306668797415976	0
179	2.271374017508629	-0.23322009561701185	-0.24536863239611525	-0.12005380074290412	-0.4913203042628222	-0.3919550257000222	0
180	2.081060729396863	-0.34556161381573164	-0.4643997351891678	-0.13986530471150418	-0.038458103629815825	-0.04791981108760814	0
181	1.907308011119694	-0.6874909268867344	-0.6932659626847789	-0.2373788891881101	-0.15063537729422077	-0.2648618240031398	0
182	1.782627225286546	-0.665916353944626	-0.5762818611917018	-0.1260783086355488	-0.6011228251289177	-0.5854446849392297	0
183	1.7116231841989518	-0.6491290898818747	-0.5974450108710698	0.33236977496511466	-0.6944516065120075	-0.8234088684508332	0
184	1.6586330704094687	-0.7402787864007211	-0.7757931663648866	-0.07349991787411775	-0.7209317570399056	-0.7568516604092308	0
185	1.600123159318233	-0.6257704170467647	-0.5552095856114215	-0.7367485852246209	-0.717346155259522	-0.6704274693981994	0
186	1.5350829044095875	-0.3206331722509186	-0.22906330199443062	-0.6084868614625666	-0.7145367548356562	-0.5426575017414793	0
187	1.4797911501686243	-0.26874561892489	0.1954667232860735	-0.12940102558057126	-0.7052007310973355	-0.49937234683197923	0
188	1.4506416648227571	-0.5017046252076378	0.11036208328459683	0.10029929938031483	-0.7800046527304909	-0.6889994446611948	0
