time,cr_v,cr_a
16.78,0.51971875,0.27571875
16.81,0.520125,0.275625
16.84,0.52028125,0.2756875
16.88,0.52053125,0.2756875
16.91,0.52084375,0.27575
16.94,0.5215625,0.277875
16.98,0.522375,0.28034375
17.01,0.5231875,0.28284375
17.04,0.5239375,0.28509375
17.08,0.5240625,0.28659375
17.11,0.5244375,0.28803125
17.14,0.52453125,0.28940625
17.18,0.5249375,0.28984375
17.21,0.52534375,0.29028125
17.24,0.52578125,0.29062499999999997
17.28,0.52628125,0.290875
17.31,0.52684375,0.29012499999999997
17.34,0.52740625,0.289375
17.38,0.52803125,0.2885625
17.41,0.5298125,0.28940625
17.44,0.5328125,0.2924375
17.48,0.53575,0.29565625
17.51,0.5386875,0.29840625
17.54,0.5418125,0.29593749999999996
17.58,0.5449999999999999,0.292875
17.61,0.5481875,0.2898125
17.64,0.550375,0.28703125
17.68,0.54934375,0.2836875
17.71,0.5485,0.2805625
17.74,0.54784375,0.27753125
17.78,0.54609375,0.27290625
17.81,0.541625,0.26453125
17.84,0.537125,0.25625
17.88,0.5324375,0.24803124999999998
17.91,0.533625,0.24378125
17.94,0.5354687499999999,0.24
17.98,0.53740625,0.236125
18.01,0.53875,0.23496875
18.04,0.53984375,0.23509375
18.08,0.5410625,0.23484375
18.11,0.54225,0.23471875
18.14,0.5434375,0.23590624999999998
18.18,0.5450937499999999,0.2366875
18.21,0.546375,0.23596875
18.24,0.54809375,0.2344375
18.28,0.5501874999999999,0.23128125
18.31,0.5521875,0.22568749999999999
18.34,0.55396875,0.21996875
18.38,0.556125,0.21484375
18.41,0.55803125,0.20975
18.44,0.55996875,0.20425
18.48,0.56140625,0.1989375
18.51,0.56184375,0.192375
18.54,0.5611875,0.1883125
18.58,0.560125,0.1856875
18.61,0.55871875,0.18321874999999999
18.64,0.5565,0.18025
18.68,0.55484375,0.17884375
18.71,0.55275,0.17812499999999998
18.74,0.55121875,0.17721875
18.78,0.55021875,0.1770625
18.81,0.54921875,0.17665625
18.84,0.54984375,0.17671875
18.88,0.55246875,0.17584375
18.91,0.5549999999999999,0.17546875
18.94,0.557875,0.17534375
18.98,0.56059375,0.1761875
19.01,0.5628124999999999,0.17781249999999998
19.04,0.56490625,0.17931249999999999
19.08,0.56434375,0.1784375
19.11,0.55990625,0.17396875
19.14,0.5553125,0.16946875
19.18,0.5499375,0.16446875
19.21,0.54684375,0.1625
19.24,0.54490625,0.16184375
19.28,0.544125,0.162
19.31,0.5435625,0.16253125
19.34,0.54425,0.16046875
19.38,0.545875,0.1525
19.41,0.54871875,0.14528125
19.44,0.55134375,0.13809375
19.48,0.554375,0.13565625
19.51,0.55778125,0.13446875
19.54,0.56146875,0.13415625
19.58,0.56690625,0.13228125
19.61,0.5709375,0.13321875
19.64,0.57378125,0.1330625
19.68,0.57659375,0.13315625
19.71,0.57821875,0.1345625
19.74,0.57915625,0.1361875
19.78,0.57971875,0.13809375
19.81,0.5776249999999999,0.1415
19.84,0.5749375,0.14515625
19.88,0.57203125,0.147625
19.91,0.56928125,0.14953125
19.94,0.56790625,0.15046874999999998
19.98,0.56678125,0.1511875
20.01,0.566,0.15131250000000002
20.04,0.5654375,0.15078125
20.08,0.56525,0.14925
20.11,0.565,0.1483125
20.14,0.56475,0.14740625000000002
20.18,0.56515625,0.148375
20.21,0.5656875,0.15081250000000002
20.24,0.5663125,0.15337499999999998
20.28,0.56709375,0.15565625
20.31,0.56853125,0.1578125
20.34,0.57009375,0.158
20.38,0.57171875,0.15818749999999998
20.41,0.573375,0.15875
20.44,0.57503125,0.16040625
20.48,0.5761875,0.1620625
20.51,0.577375,0.16434375
20.54,0.57034375,0.162125
20.58,0.56271875,0.1635
20.61,0.5549375,0.1648125
20.64,0.548375,0.166125
20.68,0.54703125,0.16790625
20.71,0.54590625,0.16790625
20.74,0.54478125,0.167875
20.78,0.5450625,0.1680625
20.81,0.5459375,0.16859375
20.84,0.54646875,0.16915624999999998
20.88,0.54696875,0.16999999999999998
20.91,0.55040625,0.17375000000000002
20.94,0.55465625,0.177375
20.98,0.55884375,0.181
21.01,0.55915625,0.18275
21.04,0.5579999999999999,0.18025
21.08,0.556625,0.17631249999999998
21.11,0.5554375,0.17228125
21.14,0.54790625,0.16228125
21.18,0.5404375,0.15396875000000002
