timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	beta	gamma	state
422	-0.0514551302941578	0.18246958368522956	-0.4309696534880287	-0.6280182688634602	-0.5807781127597945	-0.40563399022981034	-0.2788743379292364	3
423	0.2766813598987265	0.31193465399461295	-0.1615540307961749	-0.44933784102939794	-0.6389765922829113	-0.2564131638306365	-0.14231780366271102	3
424	-0.07592552008316687	0.47639715130228744	-0.25382269800574914	-0.31460574267510005	-0.7276756069722901	-0.7697048024807039	-0.2637834127256504	3
425	-0.3272965265905415	0.6603615708921594	-0.4969885298380542	-0.3671360322042396	-0.7800574834529146	-0.9617030979362459	-0.5129187728080539	3
426	-0.9545981792946787	0.8413118233117428	0.2189362160417842	0.24770581512961187	-0.22974954326293173	-0.44316619286337156	-0.5181887356975057	3
427	-0.7979725025769876	1.003770019618465	0.5493313580217829	0.7400350687337139	0.6070757786169934	-0.29266643041452867	-0.5993814974846866	0
428	-0.31361295403928663	1.1362461482342072	-0.1248871966297147	-0.06604182883440618	0.5908489276587163	-0.7354199746475896	-0.49258274607758756	3
429	0.4799784745119701	1.2303055191366543	-0.687335734355318	-0.7650439008671791	-0.18229254033812645	-0.7330431138028028	-0.45441248082469826	3
430	0.19484162653359413	1.2809344192444991	-0.49129968727746354	-0.6274718545335771	-0.45184073322924173	-0.47147352071034654	-0.37584910640666414	3
431	-0.1603533346759048	1.286834850084513	-0.19159430885294057	-0.26427074156306307	-0.30703573773087767	0.11919246767923797	-0.46705628266978927	3
432	1.1282221541193418	1.2503308701760902	-0.08064085835274235	-0.0524154154937026	-0.010456856203502198	-0.1561097687081899	-0.6219959014559101	3
433	1.7544216390279115	1.176861284645217	0.296385977554108	0.31247864720539503	0.3808147027965543	-0.1728787113805443	-0.4575652031370243	3
434	1.5531078392948432	1.0741838975751157	0.08017145537772433	0.0019471571246170237	0.1036299937986562	0.40843117883997626	-0.5920505035514781	3
435	0.28169815258135467	0.9515322718220847	-0.11989534973770474	-0.6290006989109308	-0.4960593977542342	-0.154953326740036	-0.8050373535594622	3
436	0.4100524704343502	0.8193700480579854	1.7725053771963457	0.21073264899890778	-0.7279717537078819	0.16529428651915568	-0.7491235227336086	0
437	0.4699365012638167	0.6905208167554591	1.5350939751978208	0.6758405391603325	0.6054209859026233	-0.5707660871238782	-0.7295438742056464	0
438	0.4377987478378593	0.5782501281356707	-0.6276929455826055	-0.3257186700367686	0.6422616300997535	-1.7876607559048652	-0.7844017008868182	0
439	-0.5982008150906211	0.4922212423503261	-0.8447745257639938	-0.7794185377665381	-0.48232006378806636	-1.7439109997467688	-0.5567859734599104	3
440	-0.30785970524969447	0.43155237135637126	-0.8076677889631451	-0.7628342444932206	-0.43369500452893667	-1.6366080692095852	-0.594124884640958	3
441	-0.5184966366778433	0.39192504020314034	-0.8819066459378148	-0.7564196676860281	-0.6508124765289784	-1.3424014457684645	-0.7335912523762138	3
442	-0.2939785980593201	0.38617713869436854	-0.7025685175448882	-0.6563196512522049	-0.7273313344588883	-0.5097290979635929	-0.7578370530948747	3
443	-0.5895294218864953	0.41024957307438653	-0.5959671203742184	-0.6350633549649931	-0.6493850984097603	-0.49461289169315337	-0.8046827458530137	3
